PEDIDO_ORIGINAL,PRIMERA_FECHA,ULTIMA_FECHA,CANTIDAD_EVENTOS
91784952,2026-06-30,2026-06-30,23
91785193,2026-07-01,2026-07-01,2
91785200,2026-07-01,2026-07-01,2
91781916,2026-05-04,2026-05-04,28
91784874,2026-06-30,2026-06-30,2
82388127,2026-06-26,2026-06-26,27
82389558,2026-07-02,2026-07-02,27
91784916,2026-06-30,2026-06-30,20
91785050,2026-07-01,2026-07-01,28
91785128,2026-07-01,2026-07-01,2
91785199,2026-07-01,2026-07-01,2
91782083,2026-05-04,2026-05-04,20
91782145,2026-05-04,2026-05-04,28
82383652,2026-05-29,2026-05-29,26
82388962,2026-07-01,2026-07-01,13
82389026,2026-07-01,2026-07-01,2
82379250,2026-05-04,2026-05-04,1
82388449,2026-06-30,2026-06-30,8
82393145,2026-07-31,2026-07-31,27
91784947,2026-06-30,2026-06-30,9
82383671,2026-05-29,2026-05-29,26
82388108,2026-06-26,2026-06-26,15
82388159,2026-06-26,2026-06-26,27
82384059,2026-06-01,2026-06-01,3
82379388,2026-05-04,2026-05-04,27
82393157,2026-07-31,2026-07-31,2
91783481,2026-06-01,2026-06-01,14
91783482,2026-06-01,2026-06-01,28
91785211,2026-07-01,2026-07-01,2
91786479,2026-07-31,2026-07-31,4
91783526,2026-06-01,2026-06-01,8
91784723,2026-06-26,2026-06-26,6
91784826,2026-06-26,2026-06-26,2
91783476,2026-06-01,2026-06-01,13
82383397,2026-05-28,2026-05-28,7
82389560,2026-07-02,2026-07-02,1
82388641,2026-06-30,2026-06-30,7
91784997,2026-07-01,2026-07-01,10
91786508,2026-07-31,2026-07-31,2
91783612,2026-06-01,2026-06-01,28
82383673,2026-05-29,2026-05-29,4
82388176,2026-06-26,2026-06-26,1
82383744,2026-06-01,2026-06-01,1
82379640,2026-05-04,2026-05-04,27
91783489,2026-06-01,2026-06-01,28
82383668,2026-05-29,2026-05-29,13
82389396,2026-07-02,2026-07-02,27
82393155,2026-07-31,2026-07-31,1
82379597,2026-05-04,2026-05-04,2
91785071,2026-07-01,2026-07-01,23
91785168,2026-07-01,2026-07-01,28
91785292,2026-07-02,2026-07-02,28
91782054,2026-05-04,2026-05-04,6
91783442,2026-06-01,2026-06-01,2
82388312,2026-06-30,2026-06-30,5
82379297,2026-05-04,2026-05-04,1
91784913,2026-06-30,2026-06-30,8
91785326,2026-07-02,2026-07-02,2
91785338,2026-07-02,2026-07-02,2
91782142,2026-05-04,2026-05-04,28
91784800,2026-06-26,2026-06-26,6
91784875,2026-06-30,2026-06-30,3
82388895,2026-07-01,2026-07-01,11
82389073,2026-07-01,2026-07-01,27
82379399,2026-05-04,2026-05-04,6
91785310,2026-07-02,2026-07-02,16
91785321,2026-07-02,2026-07-02,2
91783530,2026-06-01,2026-06-01,2
91786497,2026-07-31,2026-07-31,9
91782031,2026-05-04,2026-05-04,28
91784902,2026-06-30,2026-06-30,2
82388816,2026-07-01,2026-07-01,27
82389402,2026-07-02,2026-07-02,27
82383848,2026-06-01,2026-06-01,27
82388645,2026-06-30,2026-06-30,27
82383937,2026-06-01,2026-06-01,27
91785017,2026-07-01,2026-07-01,28
91783373,2026-05-29,2026-05-29,6
91785224,2026-07-01,2026-07-01,2
91785225,2026-07-01,2026-07-01,2
91785282,2026-07-02,2026-07-02,17
91784948,2026-06-30,2026-06-30,11
91782012,2026-05-04,2026-05-04,17
91782073,2026-05-04,2026-05-04,3
91782169,2026-05-04,2026-05-04,28
82383659,2026-05-29,2026-05-29,27
82388153,2026-06-26,2026-06-26,27
82389366,2026-07-02,2026-07-02,27
82393123,2026-07-31,2026-07-31,1
91785126,2026-07-01,2026-07-01,2
91785165,2026-07-01,2026-07-01,2
82383388,2026-05-28,2026-05-28,3
82388103,2026-06-26,2026-06-26,10
82389074,2026-07-01,2026-07-01,16
82388465,2026-06-30,2026-06-30,7
82384073,2026-06-01,2026-06-01,1
91784996,2026-07-01,2026-07-01,7
91783551,2026-06-01,2026-06-01,21
82383390,2026-05-28,2026-05-28,1
82388130,2026-06-26,2026-06-26,27
82393163,2026-07-31,2026-07-31,22
91785010,2026-07-01,2026-07-01,28
91786483,2026-07-31,2026-07-31,2
91782057,2026-05-04,2026-05-04,25
91782059,2026-05-04,2026-05-04,13
91784735,2026-06-26,2026-06-26,28
91783448,2026-06-01,2026-06-01,28
82388873,2026-07-01,2026-07-01,27
82389040,2026-07-01,2026-07-01,9
82389562,2026-07-02,2026-07-02,1
82379350,2026-05-04,2026-05-04,27
82393144,2026-07-31,2026-07-31,27
82393185,2026-07-31,2026-07-31,3
91782189,2026-05-04,2026-05-04,5
91785053,2026-07-01,2026-07-01,28
91785330,2026-07-02,2026-07-02,2
91783525,2026-06-01,2026-06-01,28
91786492,2026-07-31,2026-07-31,28
91783549,2026-06-01,2026-06-01,28
91786523,2026-07-31,2026-07-31,15
82388826,2026-07-01,2026-07-01,1
82388654,2026-06-30,2026-06-30,11
82379365,2026-05-04,2026-05-04,16
82393115,2026-07-31,2026-07-31,1
82393141,2026-07-31,2026-07-31,5
82379659,2026-05-04,2026-05-04,20
91783552,2026-06-01,2026-06-01,14
91782047,2026-05-04,2026-05-04,7
91784869,2026-06-30,2026-06-30,2
91784888,2026-06-30,2026-06-30,17
82388128,2026-06-26,2026-06-26,27
82388640,2026-06-30,2026-06-30,27
91785140,2026-07-01,2026-07-01,15
91785191,2026-07-01,2026-07-01,2
91785230,2026-07-01,2026-07-01,2
82383358,2026-05-28,2026-05-28,27
82388125,2026-06-26,2026-06-26,1
91783406,2026-05-29,2026-05-29,16
91782070,2026-05-04,2026-05-04,21
82388112,2026-06-26,2026-06-26,7
82388173,2026-06-26,2026-06-26,2
91784969,2026-07-01,2026-07-01,3
91785028,2026-07-01,2026-07-01,28
91785172,2026-07-01,2026-07-01,28
91785347,2026-07-02,2026-07-02,9
91783510,2026-06-01,2026-06-01,18
91783514,2026-06-01,2026-06-01,14
91786505,2026-07-31,2026-07-31,3
91783609,2026-06-01,2026-06-01,28
91782105,2026-05-04,2026-05-04,28
91784860,2026-06-30,2026-06-30,3
82388309,2026-06-30,2026-06-30,2
82383865,2026-06-01,2026-06-01,4
82393100,2026-07-31,2026-07-31,3
82379636,2026-05-04,2026-05-04,14
82379253,2026-05-04,2026-05-04,10
82379362,2026-05-04,2026-05-04,1
82379383,2026-05-04,2026-05-04,1
82379635,2026-05-04,2026-05-04,27
91785039,2026-07-01,2026-07-01,2
91786527,2026-07-31,2026-07-31,28
91782129,2026-05-04,2026-05-04,28
91784801,2026-06-26,2026-06-26,2
82383722,2026-05-29,2026-05-29,18
82383832,2026-06-01,2026-06-01,27
82379339,2026-05-04,2026-05-04,27
91784975,2026-07-01,2026-07-01,27
91785012,2026-07-01,2026-07-01,28
91785229,2026-07-01,2026-07-01,2
91785308,2026-07-02,2026-07-02,28
91784739,2026-06-26,2026-06-26,28
82379323,2026-05-04,2026-05-04,6
82379361,2026-05-04,2026-05-04,18
91783527,2026-06-01,2026-06-01,11
91782174,2026-05-04,2026-05-04,28
82388821,2026-07-01,2026-07-01,19
82388908,2026-07-01,2026-07-01,27
82389038,2026-07-01,2026-07-01,1
82393147,2026-07-31,2026-07-31,1
91785106,2026-07-01,2026-07-01,28
91783397,2026-05-29,2026-05-29,28
91782053,2026-05-04,2026-05-04,28
91782163,2026-05-04,2026-05-04,6
91784863,2026-06-30,2026-06-30,7
82383347,2026-05-28,2026-05-28,4
82389086,2026-07-01,2026-07-01,5
82389401,2026-07-02,2026-07-02,1
82393111,2026-07-31,2026-07-31,3
82379599,2026-05-04,2026-05-04,27
82393171,2026-07-31,2026-07-31,27
82379844,2026-05-04,2026-05-04,16
91782006,2026-05-04,2026-05-04,2
91782084,2026-05-04,2026-05-04,28
82383343,2026-05-28,2026-05-28,27
82388149,2026-06-26,2026-06-26,1
82388792,2026-07-01,2026-07-01,27
82388658,2026-06-30,2026-06-30,10
82393180,2026-07-31,2026-07-31,8
91783360,2026-05-28,2026-05-28,3
82388814,2026-07-01,2026-07-01,7
82389029,2026-07-01,2026-07-01,8
82383754,2026-06-01,2026-06-01,1
82388656,2026-06-30,2026-06-30,22
82393101,2026-07-31,2026-07-31,1
82393125,2026-07-31,2026-07-31,1
91785113,2026-07-01,2026-07-01,2
91782023,2026-05-04,2026-05-04,2
82388870,2026-07-01,2026-07-01,27
82379331,2026-05-04,2026-05-04,1
82383935,2026-06-01,2026-06-01,19
82393132,2026-07-31,2026-07-31,2
82393139,2026-07-31,2026-07-31,1
82379407,2026-05-04,2026-05-04,4
91785086,2026-07-01,2026-07-01,2
91782007,2026-05-04,2026-05-04,2
91784816,2026-06-26,2026-06-26,3
82383346,2026-05-28,2026-05-28,18
82383715,2026-05-29,2026-05-29,10
91785286,2026-07-02,2026-07-02,9
91786511,2026-07-31,2026-07-31,2
91782029,2026-05-04,2026-05-04,28
91782045,2026-05-04,2026-05-04,4
82383354,2026-05-28,2026-05-28,27
82383943,2026-06-01,2026-06-01,6
82393126,2026-07-31,2026-07-31,1
91782112,2026-05-04,2026-05-04,2
91784792,2026-06-26,2026-06-26,4
82388951,2026-07-01,2026-07-01,1
82388178,2026-06-26,2026-06-26,12
82388182,2026-06-26,2026-06-26,8
82379318,2026-05-04,2026-05-04,1
82379337,2026-05-04,2026-05-04,27
91783361,2026-05-28,2026-05-28,4
82383774,2026-06-01,2026-06-01,13
82383933,2026-06-01,2026-06-01,7
91785005,2026-07-01,2026-07-01,7
91785034,2026-07-01,2026-07-01,2
91786471,2026-07-31,2026-07-31,4
91782075,2026-05-04,2026-05-04,28
91782133,2026-05-04,2026-05-04,28
91784815,2026-06-26,2026-06-26,10
91785061,2026-07-01,2026-07-01,13
91782038,2026-05-04,2026-05-04,28
91782048,2026-05-04,2026-05-04,28
91784746,2026-06-26,2026-06-26,15
91784813,2026-06-26,2026-06-26,6
82383355,2026-05-28,2026-05-28,27
82383365,2026-05-28,2026-05-28,27
82383667,2026-05-29,2026-05-29,1
82388100,2026-06-26,2026-06-26,1
82388884,2026-07-01,2026-07-01,9
82389082,2026-07-01,2026-07-01,10
91783616,2026-06-01,2026-06-01,13
91784867,2026-06-30,2026-06-30,28
82388572,2026-06-30,2026-06-30,7
82389557,2026-07-02,2026-07-02,27
82379391,2026-05-04,2026-05-04,13
91785041,2026-07-01,2026-07-01,10
91785095,2026-07-01,2026-07-01,2
91783608,2026-06-01,2026-06-01,4
82389568,2026-07-02,2026-07-02,14
82388662,2026-06-30,2026-06-30,3
91784977,2026-07-01,2026-07-01,7
91785070,2026-07-01,2026-07-01,5
91785144,2026-07-01,2026-07-01,13
91785226,2026-07-01,2026-07-01,2
91785312,2026-07-02,2026-07-02,22
82383342,2026-05-28,2026-05-28,18
82388946,2026-07-01,2026-07-01,14
82388534,2026-06-30,2026-06-30,27
82379309,2026-05-04,2026-05-04,15
82383873,2026-06-01,2026-06-01,2
91784971,2026-07-01,2026-07-01,11
91785030,2026-07-01,2026-07-01,2
91786486,2026-07-31,2026-07-31,5
91782030,2026-05-04,2026-05-04,28
82388181,2026-06-26,2026-06-26,6
82388574,2026-06-30,2026-06-30,18
82379306,2026-05-04,2026-05-04,1
82379379,2026-05-04,2026-05-04,27
91784930,2026-06-30,2026-06-30,11
91783303,2026-05-28,2026-05-28,28
91785288,2026-07-02,2026-07-02,21
91786487,2026-07-31,2026-07-31,28
82383395,2026-05-28,2026-05-28,3
82388118,2026-06-26,2026-06-26,9
82384074,2026-06-01,2026-06-01,27
82379648,2026-05-04,2026-05-04,5
91785318,2026-07-02,2026-07-02,28
91786461,2026-07-31,2026-07-31,2
82388819,2026-07-01,2026-07-01,20
82383757,2026-06-01,2026-06-01,1
82389104,2026-07-02,2026-07-02,28
82383771,2026-06-01,2026-06-01,12
82379254,2026-05-04,2026-05-04,6
82379300,2026-05-04,2026-05-04,27
91784981,2026-07-01,2026-07-01,25
91785096,2026-07-01,2026-07-01,2
91785171,2026-07-01,2026-07-01,28
82379274,2026-05-04,2026-05-04,27
82379657,2026-05-04,2026-05-04,2
91785125,2026-07-01,2026-07-01,2
91783507,2026-06-01,2026-06-01,5
91783274,2026-05-28,2026-05-28,5
91784974,2026-07-01,2026-07-01,28
91785150,2026-07-01,2026-07-01,2
91783362,2026-05-28,2026-05-28,3
91786473,2026-07-31,2026-07-31,4
91782167,2026-05-04,2026-05-04,2
82388958,2026-07-01,2026-07-01,27
91785141,2026-07-01,2026-07-01,23
91783315,2026-05-28,2026-05-28,18
91785315,2026-07-02,2026-07-02,28
91782157,2026-05-04,2026-05-04,28
91784855,2026-06-30,2026-06-30,8
91783456,2026-06-01,2026-06-01,28
91783460,2026-06-01,2026-06-01,3
91785209,2026-07-01,2026-07-01,2
91785285,2026-07-02,2026-07-02,9
91782114,2026-05-04,2026-05-04,20
91782158,2026-05-04,2026-05-04,28
82388162,2026-06-26,2026-06-26,1
82383853,2026-06-01,2026-06-01,1
91785079,2026-07-01,2026-07-01,2
91784949,2026-06-30,2026-06-30,11
91785214,2026-07-01,2026-07-01,2
91783401,2026-05-29,2026-05-29,4
91783511,2026-06-01,2026-06-01,28
91782058,2026-05-04,2026-05-04,2
91784849,2026-06-30,2026-06-30,3
82388144,2026-06-26,2026-06-26,27
82388452,2026-06-30,2026-06-30,2
82384055,2026-06-01,2026-06-01,9
82384057,2026-06-01,2026-06-01,5
82393173,2026-07-31,2026-07-31,11
91785066,2026-07-01,2026-07-01,7
91785207,2026-07-01,2026-07-01,2
91783515,2026-06-01,2026-06-01,3
91783451,2026-06-01,2026-06-01,15
82388947,2026-07-01,2026-07-01,6
82388639,2026-06-30,2026-06-30,1
91785179,2026-07-01,2026-07-01,2
91782068,2026-05-04,2026-05-04,9
82388113,2026-06-26,2026-06-26,27
82388142,2026-06-26,2026-06-26,27
82388219,2026-06-26,2026-06-26,2
82388652,2026-06-30,2026-06-30,2
91783484,2026-06-01,2026-06-01,15
91783496,2026-06-01,2026-06-01,28
91786490,2026-07-31,2026-07-31,6
91783606,2026-06-01,2026-06-01,4
91782095,2026-05-04,2026-05-04,23
82383360,2026-05-28,2026-05-28,1
82383655,2026-05-29,2026-05-29,1
82389388,2026-07-02,2026-07-02,27
82388573,2026-06-30,2026-06-30,27
91784983,2026-07-01,2026-07-01,10
91785054,2026-07-01,2026-07-01,10
91786457,2026-07-31,2026-07-31,2
91784901,2026-06-30,2026-06-30,23
82388179,2026-06-26,2026-06-26,3
82389502,2026-07-02,2026-07-02,10
82388661,2026-06-30,2026-06-30,6
91785316,2026-07-02,2026-07-02,3
91782103,2026-05-04,2026-05-04,7
91782172,2026-05-04,2026-05-04,13
91784717,2026-06-26,2026-06-26,28
91783475,2026-06-01,2026-06-01,28
82389063,2026-07-01,2026-07-01,5
82383752,2026-06-01,2026-06-01,2
82393136,2026-07-31,2026-07-31,1
91785290,2026-07-02,2026-07-02,18
91785313,2026-07-02,2026-07-02,28
82389083,2026-07-01,2026-07-01,1
82383830,2026-06-01,2026-06-01,27
91785181,2026-07-01,2026-07-01,2
91783378,2026-05-29,2026-05-29,2
91785208,2026-07-01,2026-07-01,2
91782042,2026-05-04,2026-05-04,5
91782109,2026-05-04,2026-05-04,15
91782185,2026-05-04,2026-05-04,5
91784773,2026-06-26,2026-06-26,2
82388114,2026-06-26,2026-06-26,2
82389022,2026-07-01,2026-07-01,1
82383833,2026-06-01,2026-06-01,23
82388643,2026-06-30,2026-06-30,16
91785152,2026-07-01,2026-07-01,2
91783377,2026-05-29,2026-05-29,27
91784727,2026-06-26,2026-06-26,28
82389025,2026-07-01,2026-07-01,27
82384060,2026-06-01,2026-06-01,27
82379405,2026-05-04,2026-05-04,19
91783416,2026-05-29,2026-05-29,2
91786512,2026-07-31,2026-07-31,2
91784775,2026-06-26,2026-06-26,28
91784788,2026-06-26,2026-06-26,2
